Specimen properties : Specimen label,"4A"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"8.42000",mm
Specimen properties : Width,"9.93000",mm
Specimen properties : Support span,"32.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Thursday, March 27, 2025 8:25:52 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"20.10000","0.33388","452.49988","0.01646","30.85221","0.33373"
"20.20000","0.33532","453.99759","0.01654","30.95433","0.33517"
"20.30000","0.33748","457.59604","0.01664","31.19967","0.33733"
"20.40000","0.33899","459.41071","0.01672","31.32340","0.33884"
"20.50000","0.34047","461.13754","0.01679","31.44114","0.34032"
"20.60000","0.34220","463.52646","0.01688","31.60402","0.34205"
"20.70000","0.34403","466.03525","0.01697","31.77507","0.34388"
"20.80000","0.34548","467.71933","0.01704","31.88990","0.34533"
"20.90000","0.34703","469.71481","0.01711","32.02595","0.34688"
"21.00000","0.34928","473.32571","0.01722","32.27215","0.34913"
"21.10000","0.35066","474.85373","0.01729","32.37633","0.35051"
"21.20000","0.35209","476.32904","0.01736","32.47692","0.35194"
"21.30000","0.35385","478.96790","0.01745","32.65685","0.35370"
"21.40000","0.35568","481.41223","0.01754","32.82350","0.35553"
"21.50000","0.35715","483.19730","0.01761","32.94521","0.35699"
"21.60000","0.35872","485.14236","0.01769","33.07783","0.35857"
"21.70000","0.36094","488.74518","0.01780","33.32347","0.36079"
"21.80000","0.36231","490.08368","0.01787","33.41474","0.36216"
"21.90000","0.36375","491.64691","0.01794","33.52132","0.36360"
"22.00000","0.36558","494.34985","0.01803","33.70561","0.36543"
"22.10000","0.36726","496.59946","0.01811","33.85899","0.36711"
"22.20000","0.36876","498.38083","0.01819","33.98045","0.36861"
"22.30000","0.37045","500.68814","0.01827","34.13777","0.37029"
"22.40000","0.37256","503.97311","0.01837","34.36174","0.37241"
"22.50000","0.37394","505.38361","0.01844","34.45791","0.37379"
"22.60000","0.37542","507.19156","0.01851","34.58118","0.37527"
"22.70000","0.37728","509.86945","0.01861","34.76376","0.37713"
"22.80000","0.37895","512.01489","0.01869","34.91005","0.37880"
"22.90000","0.38040","513.62238","0.01876","35.01965","0.38025"
"23.00000","0.38212","516.08014","0.01884","35.18722","0.38197"
"23.10000","0.38418","519.25031","0.01895","35.40337","0.38403"
"23.20000","0.38561","520.78363","0.01902","35.50791","0.38545"
"23.30000","0.38711","522.55750","0.01909","35.62886","0.38696"
"23.40000","0.38899","525.33350","0.01918","35.81813","0.38884"
"23.50000","0.39054","527.17340","0.01926","35.94358","0.39039"
"23.60000","0.39206","528.98016","0.01934","36.06676","0.39191"
"23.70000","0.39395","531.81927","0.01943","36.26034","0.39380"
"23.80000","0.39582","534.49536","0.01952","36.44280","0.39567"
"23.90000","0.39722","535.78198","0.01959","36.53053","0.39707"
"24.00000","0.39871","537.72424","0.01966","36.66295","0.39856"
"24.10000","0.40074","540.92645","0.01976","36.88128","0.40059"
"24.20000","0.40226","542.48248","0.01984","36.98738","0.40211"
"24.30000","0.40371","544.34894","0.01991","37.11464","0.40355"
"24.40000","0.40565","547.21179","0.02001","37.30983","0.40550"
"24.50000","0.40749","549.66113","0.02010","37.47683","0.40734"
"24.60000","0.40890","551.15857","0.02017","37.57893","0.40875"
"24.70000","0.41044","553.04376","0.02024","37.70746","0.41029"
"24.80000","0.41234","555.82019","0.02034","37.89676","0.41219"
"24.90000","0.41386","557.52637","0.02041","38.01309","0.41371"
"25.00000","0.41536","559.31989","0.02048","38.13538","0.41521"
"25.10000","0.41742","562.51788","0.02059","38.35342","0.41727"
"25.20000","0.41908","564.65912","0.02067","38.49942","0.41893"
"25.30000","0.42050","566.11688","0.02074","38.59881","0.42035"
"25.40000","0.42215","568.30249","0.02082","38.74783","0.42200"
"25.50000","0.42404","570.99445","0.02091","38.93137","0.42388"
"25.60000","0.42549","572.61365","0.02098","39.04177","0.42534"
"25.70000","0.42696","574.34869","0.02106","39.16007","0.42681"
"25.80000","0.42915","577.87018","0.02117","39.40017","0.42900"
"25.90000","0.43072","579.69287","0.02124","39.52444","0.43056"
"26.00000","0.43215","581.27441","0.02131","39.63227","0.43200"
"26.10000","0.43380","583.36340","0.02139","39.77471","0.43364"
"26.20000","0.43572","586.16144","0.02149","39.96548","0.43557"
"26.30000","0.43716","587.73120","0.02156","40.07251","0.43701"
"26.40000","0.43870","589.53644","0.02164","40.19559","0.43855"
"26.50000","0.44089","593.11493","0.02174","40.43958","0.44073"
"26.60000","0.44233","594.59100","0.02182","40.54022","0.44218"
"26.70000","0.44374","596.06696","0.02188","40.64086","0.44359"
"26.80000","0.44554","598.55243","0.02197","40.81032","0.44539"
"26.90000","0.44742","601.22485","0.02207","40.99253","0.44727"
"27.00000","0.44882","602.72919","0.02214","41.09510","0.44867"
"27.10000","0.45034","604.43823","0.02221","41.21162","0.45018"
"27.20000","0.45256","608.12567","0.02232","41.46304","0.45241"
"27.30000","0.45402","609.58606","0.02239","41.56261","0.45387"
"27.40000","0.45545","611.03638","0.02246","41.66150","0.45530"
"27.50000","0.45725","613.54785","0.02255","41.83273","0.45710"
"27.60000","0.45898","615.80597","0.02264","41.98669","0.45883"
"27.70000","0.46045","617.59589","0.02271","42.10873","0.46030"
"27.80000","0.46208","619.55096","0.02279","42.24203","0.46193"
"27.90000","0.46425","623.02185","0.02290","42.47869","0.46410"
"28.00000","0.46563","624.34760","0.02296","42.56908","0.46548"
"28.10000","0.46706","625.94904","0.02304","42.67827","0.46691"
"28.20000","0.46901","628.76526","0.02313","42.87028","0.46886"
"28.30000","0.47064","630.75897","0.02321","43.00622","0.47049"
"28.40000","0.47205","632.27362","0.02328","43.10949","0.47190"
"28.50000","0.47373","634.55548","0.02336","43.26507","0.47358"
"28.60000","0.47588","637.96606","0.02347","43.49761","0.47573"
"28.70000","0.47731","639.35022","0.02354","43.59198","0.47716"
"28.80000","0.47873","640.78082","0.02361","43.68953","0.47858"
"28.90000","0.48068","643.69501","0.02371","43.88822","0.48053"
"29.00000","0.48227","645.62878","0.02379","44.02007","0.48212"
"29.10000","0.48371","646.89172","0.02386","44.10617","0.48356"
"29.20000","0.48547","649.58698","0.02394","44.28994","0.48532"
"29.30000","0.48750","652.45435","0.02404","44.48544","0.48735"
"29.40000","0.48889","653.91290","0.02411","44.58489","0.48873"
"29.50000","0.49037","655.57202","0.02419","44.69801","0.49022"
"29.60000","0.49245","658.74274","0.02429","44.91420","0.49230"
"29.70000","0.49392","660.12561","0.02436","45.00848","0.49377"
"29.80000","0.49540","661.89795","0.02443","45.12933","0.49525"
"29.90000","0.49721","664.33081","0.02452","45.29520","0.49706"
"30.00000","0.49918","667.18481","0.02462","45.48979","0.49903"
